Brand,Description,Size,SalesQuantity,SalesPrice,SalesDate
14006,Apothic Winemakers Red Blend,750mL,2,9.99,2016-01-01
3348,Bombay Sapphire Gin,1.75L,2,29.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,2,39.2,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,3,12.99,2016-01-01
8680,Crown Royal,1.75L,1,38.99,2016-01-01
8082,Baileys Irish Cream,1.75L,1,29.99,2016-01-01
6579,J Lohr Riverstone Chard,750mL,1,9.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,2,35.99,2016-01-01
8512,Baileys Irish Cream,750mL,18,18.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,4,35.99,2016-01-01
8082,Baileys Irish Cream,1.75L,9,29.99,2016-01-01
5138,Fireball Cinnamon Whisky,750mL,1,13.99,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,2,12.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,11,29.99,2016-01-01
3489,Tanqueray,1.75L,2,27.99,2016-01-01
11219,Josh Cellars Cab Svgn Sonoma,750mL,1,13.99,2016-01-01
5365,Kahlua,750mL,2,18.99,2016-01-01
3650,Patron Silver Tequila,750mL,3,48.99,2016-01-01
3489,Tanqueray,1.75L,4,27.99,2016-01-01
3512,Pinnacle Vodka,1.75L,1,15.99,2016-01-01
3650,Patron Silver Tequila,750mL,2,48.99,2016-01-01
3876,Smirnoff 80 Proof,1.75L,2,17.99,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,3,12.99,2016-01-01
3512,Pinnacle Vodka,1.75L,2,15.99,2016-01-01
3405,Tito's Handmade Vodka,1.75L,1,29.99,2016-01-01
2663,Dewars White Label,1.75L,3,29.99,2016-01-01
1376,Jim Beam,1.75L,3,21.99,2016-01-01
5364,Kahlua,1.75L,1,29.99,2016-01-01
14006,Apothic Winemakers Red Blend,750mL,1,9.99,2016-01-01
14006,Apothic Winemakers Red Blend,750mL,1,9.99,2016-01-01
3858,Grey Goose Vodka,750mL,1,23.99,2016-01-01
2663,Dewars White Label,1.75L,1,29.99,2016-01-01
8512,Baileys Irish Cream,750mL,12,18.99,2016-01-01
3489,Tanqueray,1.75L,1,27.99,2016-01-01
1233,Jack Daniels No 7 Black,1.75L,5,35.99,2016-01-01
11219,Josh Cellars Cab Svgn Sonoma,750mL,1,13.99,2016-01-01
3650,Patron Silver Tequila,750mL,2,48.99,2016-01-01
5103,Fireball Cinnamon Whisky,1.75L,2,23.99,2016-01-01
2757,Johnnie Walker Red Label,1.75L,22,29.99,2016-01-01
8512,Baileys Irish Cream,750mL,7,18.99,2016-01-01
6570,Kendall Jackson Chard Vt RSV,750mL,1,9.95,2016-01-01
2114,Black Velvet Canadian Whisky,1.75L,1,12.99,2016-01-01
2120,Canadian Club,1.75L,2,16.94,2016-01-01
5364,Kahlua,1.75L,4,29.99,2016-01-01
8112,Stolichnaya,1.75L,2,25.26,2016-01-01
2663,Dewars White Label,1.75L,1,29.99,2016-01-01
3802,Three Olives Vodka,1.75L,1,18.99,2016-01-01
3180,New Amsterdam Vodka,1.75L,1,16.99,2016-01-01
11219,Josh Cellars Cab Svgn Sonoma,750mL,2,13.99,2016-01-01
1385,Makers Mark,750mL,8,26.99,2016-01-01
2127,Canadian Ltd,1.75L,3,10.49,2016-01-01
1376,Jim Beam,1.75L,2,21.99,2016-01-01
4261,Capt Morgan Spiced Rum,1.75L,2,21.99,2016-01-01
3802,Three Olives Vodka,1.75L,1,18.99,2016-01-01
8068,Absolut 80 Proof,1.75L,2,24.99,2016-01-01
2585,Jameson Irish Whiskey,750mL,4,22.99,2016-01-01
